Logdir logdir\ndnf_demo_deltafix_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[8902] episode/score 1.0 / episode/length 17.0
[8913] episode/score 1.0 / episode/length 11.0
[8933] episode/score 0.9 / episode/length 20.0
[8951] episode/score 1.0 / episode/length 18.0
[8962] episode/score 1.0 / episode/length 11.0
[8975] episode/score 1.0 / episode/length 13.0
[8991] episode/score 1.0 / episode/length 16.0
[9010] episode/score 1.0 / episode/length 19.0
[9023] episode/score 1.0 / episode/length 13.0
[9039] episode/score 1.0 / episode/length 16.0
[9052] episode/score 1.0 / episode/length 13.0
[9067] episode/score 1.0 / episode/length 15.0
[9077] episode/score 1.0 / episode/length 10.0
[9096] episode/score 1.0 / episode/length 19.0
[9108] episode/score 1.0 / episode/length 12.0
[9126] episode/score 1.0 / episode/length 18.0
[9143] episode/score 1.0 / episode/length 17.0
[9163] episode/score 0.9 / episode/length 20.0
[9179] episode/score 1.0 / episode/length 16.0
[9189] episode/score 1.0 / episode/length 10.0
[9205] episode/score 1.0 / episode/length 16.0
[9213] episode/score 1.0 / episode/length 8.0
[9228] episode/score 1.0 / episode/length 15.0
[9253] episode/score 0.9 / episode/length 25.0
[9273] episode/score 0.9 / episode/length 20.0
[9288] episode/score 1.0 / episode/length 15.0
[9301] episode/score 1.0 / episode/length 13.0
[9316] episode/score 1.0 / episode/length 15.0
[9328] episode/score 1.0 / episode/length 12.0
[9346] episode/score 1.0 / episode/length 18.0
[9367] episode/score 0.9 / episode/length 21.0
[9380] episode/score 1.0 / episode/length 13.0
[9395] episode/score 1.0 / episode/length 15.0
[9410] episode/score 1.0 / episode/length 15.0
[9425] episode/score 1.0 / episode/length 15.0
[9446] episode/score 0.9 / episode/length 21.0
[9460] episode/score 1.0 / episode/length 14.0
[9480] episode/score 0.9 / episode/length 20.0
[9495] episode/score 1.0 / episode/length 15.0
[9506] episode/score 1.0 / episode/length 11.0
[9521] episode/score 1.0 / episode/length 15.0
[9541] episode/score 0.9 / episode/length 20.0
[9557] episode/score 1.0 / episode/length 16.0
[9573] episode/score 1.0 / episode/length 16.0
[9591] episode/score 1.0 / episode/length 18.0
[9608] episode/score 1.0 / episode/length 17.0
[9619] episode/score 1.0 / episode/length 11.0
[9642] episode/score 0.9 / episode/length 23.0
[9653] episode/score 1.0 / episode/length 11.0
[9671] episode/score 1.0 / episode/length 18.0
[9689] episode/score 1.0 / episode/length 18.0
[9698] episode/score 1.0 / episode/length 9.0
[9714] episode/score 1.0 / episode/length 16.0
[9729] episode/score 1.0 / episode/length 15.0
[9744] episode/score 1.0 / episode/length 15.0
[9763] episode/score 1.0 / episode/length 19.0
[9782] episode/score 1.0 / episode/length 19.0
[9794] episode/score 1.0 / episode/length 12.0
[9809] episode/score 1.0 / episode/length 15.0
[9824] episode/score 1.0 / episode/length 15.0
[9840] episode/score 1.0 / episode/length 16.0
[9856] episode/score 1.0 / episode/length 16.0
[9868] episode/score 1.0 / episode/length 12.0
[9882] episode/score 1.0 / episode/length 14.0
[9895] episode/score 1.0 / episode/length 13.0
[9916] episode/score 0.9 / episode/length 21.0
[9931] episode/score 1.0 / episode/length 15.0
[9945] episode/score 1.0 / episode/length 14.0
[9975] episode/score 0.9 / episode/length 30.0
[9998] episode/score 0.9 / episode/length 23.0
Evaluating the policy...
[10000] episode/eval_score 0.0 / episode/eval_length 360.0
[10012] episode/score 1.0 / episode/length 14.0
[10031] episode/score 1.0 / episode/length 19.0
[10042] episode/score 1.0 / episode/length 11.0
[10052] episode/score 1.0 / episode/length 10.0
[10066] train/ndnf_delta 0.1 / train/dyn_entropy 9.2 / train/rep_entropy 10.2 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.0 / train/ret_095 0.0 / train/adv -0.0 / train/adv_std 0.0 / train/con 0.6 / train/rew 0.0 / train/val 0.0 / train/tar 0.0 / train/slowval 0.0 / train/weight 0.1 / train/action_entropy 1.5 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.5 / train/ret_replay_std 0.3 / train/ret_replay_min 0.0 / train/ret_replay_max 1.0 / train/value_replay_mean 0.0 / train/value_replay_std 0.0 / train/value_replay_min 0.0 / train/value_replay_max 0.0 / train/slow_value_replay_mean 0.0 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.0 / train/slow_value_replay_max 0.0 / train/loss/dyn 1.4 / train/loss/rep 1.4 / train/loss/ground 0.8 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 7.3 / train/loss/rew 4.7 / train/loss/con 0.5 / train/loss/policy -0.0 / train/loss/value 0.8 / train/loss/repval 8.1 / train/opt/loss 18.2 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 313.0 / fps/fps 47.1
[10069] episode/score 1.0 / episode/length 17.0
[10087] episode/score 1.0 / episode/length 18.0
[10100] episode/score 1.0 / episode/length 13.0
[10123] episode/score 0.9 / episode/length 23.0
[10137] episode/score 1.0 / episode/length 14.0
[10158] episode/score 0.9 / episode/length 21.0
[10177] episode/score 1.0 / episode/length 19.0
[10191] episode/score 1.0 / episode/length 14.0
[10204] episode/score 1.0 / episode/length 13.0
[10221] episode/score 1.0 / episode/length 17.0
[10231] episode/score 1.0 / episode/length 10.0
[10244] episode/score 1.0 / episode/length 13.0
[10268] episode/score 0.9 / episode/length 24.0
[10285] episode/score 1.0 / episode/length 17.0
[10295] episode/score 1.0 / episode/length 10.0
[10304] episode/score 1.0 / episode/length 9.0
[10317] episode/score 1.0 / episode/length 13.0
[10333] episode/score 1.0 / episode/length 16.0
[10349] episode/score 1.0 / episode/length 16.0
[10370] episode/score 0.9 / episode/length 21.0
[10392] episode/score 0.9 / episode/length 22.0
[10410] episode/score 1.0 / episode/length 18.0
[10436] episode/score 0.9 / episode/length 26.0
[10453] episode/score 1.0 / episode/length 17.0
[10473] episode/score 0.9 / episode/length 20.0
[10492] episode/score 1.0 / episode/length 19.0
[10504] episode/score 1.0 / episode/length 12.0
[10519] episode/score 1.0 / episode/length 15.0
[10533] episode/score 1.0 / episode/length 14.0
[10555] episode/score 0.9 / episode/length 22.0
[10566] episode/score 1.0 / episode/length 11.0
[10583] episode/score 1.0 / episode/length 17.0
[10599] episode/score 1.0 / episode/length 16.0
[10610] episode/score 1.0 / episode/length 11.0
[10640] episode/score 0.9 / episode/length 30.0
[10658] episode/score 1.0 / episode/length 18.0
[10673] episode/score 1.0 / episode/length 15.0
[10683] episode/score 1.0 / episode/length 10.0
[10693] episode/score 1.0 / episode/length 10.0
[10718] episode/score 0.9 / episode/length 25.0
[10729] episode/score 1.0 / episode/length 11.0
[10742] episode/score 1.0 / episode/length 13.0
[10752] episode/score 1.0 / episode/length 10.0
[10771] episode/score 1.0 / episode/length 19.0
[10782] episode/score 1.0 / episode/length 11.0
[10793] episode/score 1.0 / episode/length 11.0
[10805] episode/score 1.0 / episode/length 12.0
[10818] episode/score 1.0 / episode/length 13.0
[10834] episode/score 1.0 / episode/length 16.0
[10853] episode/score 1.0 / episode/length 19.0
[10866] episode/score 1.0 / episode/length 13.0
[10882] episode/score 1.0 / episode/length 16.0
[10899] episode/score 1.0 / episode/length 17.0
[10912] episode/score 1.0 / episode/length 13.0
[10923] episode/score 1.0 / episode/length 11.0
[10940] episode/score 1.0 / episode/length 17.0
[10965] episode/score 0.9 / episode/length 25.0
[10982] episode/score 1.0 / episode/length 17.0
[10997] episode/score 1.0 / episode/length 15.0
[11012] episode/score 1.0 / episode/length 15.0
[11039] episode/score 0.9 / episode/length 27.0
[11055] episode/score 1.0 / episode/length 16.0
[11073] episode/score 1.0 / episode/length 18.0
[11091] episode/score 1.0 / episode/length 18.0
[11107] episode/score 1.0 / episode/length 16.0
[11129] episode/score 0.9 / episode/length 22.0
[11148] episode/score 1.0 / episode/length 19.0
[11165] episode/score 1.0 / episode/length 17.0
[11178] episode/score 1.0 / episode/length 13.0
[11199] episode/score 0.9 / episode/length 21.0
[11226] episode/score 0.9 / episode/length 27.0
[11246] episode/score 0.9 / episode/length 20.0
[11262] episode/score 1.0 / episode/length 16.0
[11276] episode/score 1.0 / episode/length 14.0
[11299] episode/score 0.9 / episode/length 23.0
[11314] episode/score 1.0 / episode/length 15.0
[11325] episode/score 1.0 / episode/length 11.0
[11339] episode/score 1.0 / episode/length 14.0
[11355] episode/score 1.0 / episode/length 16.0
[11369] episode/score 1.0 / episode/length 14.0
[11390] episode/score 0.9 / episode/length 21.0
[11401] episode/score 1.0 / episode/length 11.0
[11417] episode/score 1.0 / episode/length 16.0
[11432] episode/score 1.0 / episode/length 15.0
[11446] episode/score 1.0 / episode/length 14.0
[11459] episode/score 1.0 / episode/length 13.0
[11482] episode/score 0.9 / episode/length 23.0
[11501] episode/score 1.0 / episode/length 19.0
[11513] episode/score 1.0 / episode/length 12.0
[11535] episode/score 0.9 / episode/length 22.0
[11553] episode/score 1.0 / episode/length 18.0
[11568] episode/score 1.0 / episode/length 15.0
[11586] episode/score 1.0 / episode/length 18.0
[11598] episode/score 1.0 / episode/length 12.0
[11612] episode/score 1.0 / episode/length 14.0
[11636] episode/score 0.9 / episode/length 24.0
[11652] episode/score 1.0 / episode/length 16.0
[11663] episode/score 1.0 / episode/length 11.0
[11677] episode/score 1.0 / episode/length 14.0
[11697] episode/score 0.9 / episode/length 20.0
[11711] episode/score 1.0 / episode/length 14.0
[11736] episode/score 0.9 / episode/length 25.0
[11756] episode/score 0.9 / episode/length 20.0
[11769] episode/score 1.0 / episode/length 13.0
[11789] episode/score 0.9 / episode/length 20.0
[11809] episode/score 0.9 / episode/length 20.0
[11829] episode/score 0.9 / episode/length 20.0
[11848] episode/score 1.0 / episode/length 19.0
[11859] episode/score 1.0 / episode/length 11.0
[11883] episode/score 0.9 / episode/length 24.0
[11900] episode/score 1.0 / episode/length 17.0
[11917] episode/score 1.0 / episode/length 17.0
[11934] episode/score 1.0 / episode/length 17.0
[11951] episode/score 1.0 / episode/length 17.0
[11964] episode/score 1.0 / episode/length 13.0
[11980] episode/score 1.0 / episode/length 16.0
[11990] episode/score 1.0 / episode/length 10.0
[12011] episode/score 0.9 / episode/length 21.0
[12031] episode/score 0.9 / episode/length 20.0
[12044] episode/score 1.0 / episode/length 13.0
[12054] episode/score 1.0 / episode/length 10.0
[12073] episode/score 1.0 / episode/length 19.0
[12098] episode/score 0.9 / episode/length 25.0
[12115] episode/score 1.0 / episode/length 17.0
[12135] episode/score 0.9 / episode/length 20.0
[12153] episode/score 1.0 / episode/length 18.0
[12174] episode/score 0.9 / episode/length 21.0
[12184] episode/score 1.0 / episode/length 10.0
[12205] episode/score 0.9 / episode/length 21.0
[12220] episode/score 1.0 / episode/length 15.0
[12235] episode/score 1.0 / episode/length 15.0
[12250] episode/score 1.0 / episode/length 15.0
[12267] episode/score 1.0 / episode/length 17.0
[12279] episode/score 1.0 / episode/length 12.0
[12292] episode/score 1.0 / episode/length 13.0
[12305] episode/score 1.0 / episode/length 13.0
[12316] episode/score 1.0 / episode/length 11.0
[12331] episode/score 1.0 / episode/length 15.0
[12342] episode/score 1.0 / episode/length 11.0
[12357] episode/score 1.0 / episode/length 15.0
[12382] episode/score 0.9 / episode/length 25.0
[12403] episode/score 0.9 / episode/length 21.0
[12416] episode/score 1.0 / episode/length 13.0
[12431] episode/score 1.0 / episode/length 15.0
[12446] episode/score 1.0 / episode/length 15.0
[12460] episode/score 1.0 / episode/length 14.0
[12472] episode/score 1.0 / episode/length 12.0
[12488] episode/score 1.0 / episode/length 16.0
[12499] episode/score 1.0 / episode/length 11.0
[12518] episode/score 1.0 / episode/length 19.0
[12535] episode/score 1.0 / episode/length 17.0
[12548] episode/score 1.0 / episode/length 13.0
[12568] episode/score 0.9 / episode/length 20.0
[12583] episode/score 1.0 / episode/length 15.0
[12595] episode/score 1.0 / episode/length 12.0
[12609] episode/score 1.0 / episode/length 14.0
[12621] episode/score 1.0 / episode/length 12.0
[12630] episode/score 1.0 / episode/length 9.0
[12645] episode/score 1.0 / episode/length 15.0
[12658] episode/score 1.0 / episode/length 13.0
[12676] episode/score 1.0 / episode/length 18.0
[12695] episode/score 1.0 / episode/length 19.0
[12718] episode/score 0.9 / episode/length 23.0
[12730] episode/score 1.0 / episode/length 12.0
[12756] episode/score 0.9 / episode/length 26.0
[12774] episode/score 1.0 / episode/length 18.0
[12795] episode/score 0.9 / episode/length 21.0
[12814] episode/score 1.0 / episode/length 19.0
[12833] episode/score 1.0 / episode/length 19.0
[12848] episode/score 1.0 / episode/length 15.0
[12858] episode/score 1.0 / episode/length 10.0
[12884] episode/score 0.9 / episode/length 26.0
[12908] episode/score 0.9 / episode/length 24.0
[12921] episode/score 1.0 / episode/length 13.0
[12933] episode/score 1.0 / episode/length 12.0
[12953] episode/score 0.9 / episode/length 20.0
[12976] episode/score 0.9 / episode/length 23.0
[12990] episode/score 1.0 / episode/length 14.0
[13007] episode/score 1.0 / episode/length 17.0
[13023] episode/score 1.0 / episode/length 16.0
[13036] episode/score 1.0 / episode/length 13.0
[13054] episode/score 1.0 / episode/length 18.0
[13070] episode/score 1.0 / episode/length 16.0
[13083] episode/score 1.0 / episode/length 13.0
[13098] episode/score 1.0 / episode/length 15.0
[13125] episode/score 0.9 / episode/length 27.0
[13137] episode/score 1.0 / episode/length 12.0
[13154] episode/score 1.0 / episode/length 17.0
[13165] episode/score 1.0 / episode/length 11.0
[13179] episode/score 1.0 / episode/length 14.0
[13194] episode/score 1.0 / episode/length 15.0
[13210] episode/score 1.0 / episode/length 16.0
[13222] episode/score 1.0 / episode/length 12.0
[13233] episode/score 1.0 / episode/length 11.0
[13247] episode/score 1.0 / episode/length 14.0
[13265] episode/score 1.0 / episode/length 18.0
[13280] episode/score 1.0 / episode/length 15.0
[13290] episode/score 1.0 / episode/length 10.0
[13303] episode/score 1.0 / episode/length 13.0
[13317] episode/score 1.0 / episode/length 14.0
[13327] episode/score 1.0 / episode/length 10.0
[13342] episode/score 1.0 / episode/length 15.0
[13361] episode/score 1.0 / episode/length 19.0
[13381] episode/score 0.9 / episode/length 20.0
[13400] episode/score 1.0 / episode/length 19.0
[13411] episode/score 1.0 / episode/length 11.0
[13426] episode/score 1.0 / episode/length 15.0
[13439] episode/score 1.0 / episode/length 13.0
[13456] episode/score 1.0 / episode/length 17.0
[13473] episode/score 1.0 / episode/length 17.0
[13488] episode/score 1.0 / episode/length 15.0
[13511] episode/score 0.9 / episode/length 23.0
[13519] episode/score 1.0 / episode/length 8.0
[13543] episode/score 0.9 / episode/length 24.0
[13554] episode/score 1.0 / episode/length 11.0
[13564] episode/score 1.0 / episode/length 10.0
[13576] episode/score 1.0 / episode/length 12.0
[13594] episode/score 1.0 / episode/length 18.0
[13616] episode/score 0.9 / episode/length 22.0
[13636] episode/score 0.9 / episode/length 20.0
[13649] episode/score 1.0 / episode/length 13.0
[13666] episode/score 1.0 / episode/length 17.0
[13684] episode/score 1.0 / episode/length 18.0
[13699] episode/score 1.0 / episode/length 15.0
[13718] episode/score 1.0 / episode/length 19.0
[13736] episode/score 1.0 / episode/length 18.0
[13762] episode/score 0.9 / episode/length 26.0
[13781] episode/score 1.0 / episode/length 19.0
[13800] episode/score 1.0 / episode/length 19.0
[13816] episode/score 1.0 / episode/length 16.0
[13830] episode/score 1.0 / episode/length 14.0
[13841] episode/score 1.0 / episode/length 11.0
[13856] episode/score 1.0 / episode/length 15.0
[13870] episode/score 1.0 / episode/length 14.0
[13893] episode/score 0.9 / episode/length 23.0
[13904] episode/score 1.0 / episode/length 11.0
[13914] episode/score 1.0 / episode/length 10.0
[13925] episode/score 1.0 / episode/length 11.0
[13940] episode/score 1.0 / episode/length 15.0
[13967] episode/score 0.9 / episode/length 27.0
[13984] episode/score 1.0 / episode/length 17.0
[14003] episode/score 1.0 / episode/length 19.0
[14018] episode/score 1.0 / episode/length 15.0
[14037] episode/score 1.0 / episode/length 19.0
[14052] episode/score 1.0 / episode/length 15.0
[14060] episode/score 1.0 / episode/length 8.0
[14085] episode/score 0.9 / episode/length 25.0
[14103] episode/score 1.0 / episode/length 18.0
[14122] episode/score 1.0 / episode/length 19.0
[14144] episode/score 0.9 / episode/length 22.0
[14156] episode/score 1.0 / episode/length 12.0
[14174] episode/score 1.0 / episode/length 18.0
[14188] episode/score 1.0 / episode/length 14.0
[14203] episode/score 1.0 / episode/length 15.0
[14219] episode/score 1.0 / episode/length 16.0
[14232] episode/score 1.0 / episode/length 13.0
[14246] episode/score 1.0 / episode/length 14.0
[14262] episode/score 1.0 / episode/length 16.0
[14279] episode/score 1.0 / episode/length 17.0
[14295] episode/score 1.0 / episode/length 16.0
[14308] episode/score 1.0 / episode/length 13.0
[14326] episode/score 1.0 / episode/length 18.0
[14340] episode/score 1.0 / episode/length 14.0
[14356] episode/score 1.0 / episode/length 16.0
[14371] episode/score 1.0 / episode/length 15.0
[14386] episode/score 1.0 / episode/length 15.0
[14395] episode/score 1.0 / episode/length 9.0
[14419] episode/score 0.9 / episode/length 24.0
[14428] episode/score 1.0 / episode/length 9.0
[14444] episode/score 1.0 / episode/length 16.0
[14469] episode/score 0.9 / episode/length 25.0
[14487] episode/score 1.0 / episode/length 18.0
[14497] episode/score 1.0 / episode/length 10.0
[14510] episode/score 1.0 / episode/length 13.0
[14532] episode/score 0.9 / episode/length 22.0
[14548] episode/score 1.0 / episode/length 16.0
[14568] episode/score 0.9 / episode/length 20.0
[14583] episode/score 1.0 / episode/length 15.0
[14597] episode/score 1.0 / episode/length 14.0
[14619] episode/score 0.9 / episode/length 22.0
[14632] episode/score 1.0 / episode/length 13.0
[14647] episode/score 1.0 / episode/length 15.0
[14657] episode/score 1.0 / episode/length 10.0
[14670] episode/score 1.0 / episode/length 13.0
[14683] episode/score 1.0 / episode/length 13.0
[14693] episode/score 1.0 / episode/length 10.0
[14707] episode/score 1.0 / episode/length 14.0
[14724] episode/score 1.0 / episode/length 17.0
[14746] episode/score 0.9 / episode/length 22.0
[14757] episode/score 1.0 / episode/length 11.0
[14768] episode/score 1.0 / episode/length 11.0
[14783] episode/score 1.0 / episode/length 15.0
[14807] episode/score 0.9 / episode/length 24.0
[14826] episode/score 1.0 / episode/length 19.0
[14843] episode/score 1.0 / episode/length 17.0
[14856] episode/score 1.0 / episode/length 13.0
[14871] episode/score 1.0 / episode/length 15.0
[14892] episode/score 0.9 / episode/length 21.0
[14917] episode/score 0.9 / episode/length 25.0
[14938] episode/score 0.9 / episode/length 21.0
[14955] episode/score 1.0 / episode/length 17.0
[14976] episode/score 0.9 / episode/length 21.0
[14990] episode/score 1.0 / episode/length 14.0
[15008] episode/score 1.0 / episode/length 18.0
[15023] episode/score 1.0 / episode/length 15.0
[15037] episode/score 1.0 / episode/length 14.0
[15048] episode/score 1.0 / episode/length 11.0
[15066] train/ndnf_delta 0.1 / train/dyn_entropy 9.2 / train/rep_entropy 10.1 / train/act_entropy_coef 0.0 / train/ret 0.1 / train/ret_005 0.1 / train/ret_095 0.1 / train/adv 0.0 / train/adv_std 0.0 / train/con 0.7 / train/rew 0.0 / train/val 0.1 / train/tar 0.1 / train/slowval 0.1 / train/weight 0.2 / train/action_entropy 0.7 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.6 / train/ret_replay_std 0.2 / train/ret_replay_min 0.1 / train/ret_replay_max 1.0 / train/value_replay_mean 0.1 / train/value_replay_std 0.0 / train/value_replay_min 0.1 / train/value_replay_max 0.1 / train/slow_value_replay_mean 0.1 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.1 / train/slow_value_replay_max 0.1 / train/loss/dyn 1.3 / train/loss/rep 1.3 / train/loss/ground 0.7 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 2.0 / train/loss/rew 3.5 / train/loss/con 0.4 / train/loss/policy 0.0 / train/loss/value 0.9 / train/loss/repval 5.0 / train/opt/loss 10.4 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 469.0 / fps/fps 46.8
[15069] episode/score 0.9 / episode/length 21.0
[15089] episode/score 0.9 / episode/length 20.0
[15105] episode/score 1.0 / episode/length 16.0
[15116] episode/score 1.0 / episode/length 11.0
[15133] episode/score 1.0 / episode/length 17.0
[15149] episode/score 1.0 / episode/length 16.0
[15168] episode/score 1.0 / episode/length 19.0
[15182] episode/score 1.0 / episode/length 14.0
[15202] episode/score 0.9 / episode/length 20.0
[15219] episode/score 1.0 / episode/length 17.0
[15245] episode/score 0.9 / episode/length 26.0
[15258] episode/score 1.0 / episode/length 13.0
[15270] episode/score 1.0 / episode/length 12.0
[15284] episode/score 1.0 / episode/length 14.0
[15302] episode/score 1.0 / episode/length 18.0
[15316] episode/score 1.0 / episode/length 14.0
[15341] episode/score 0.9 / episode/length 25.0
[15358] episode/score 1.0 / episode/length 17.0
[15370] episode/score 1.0 / episode/length 12.0
[15384] episode/score 1.0 / episode/length 14.0
[15400] episode/score 1.0 / episode/length 16.0
[15412] episode/score 1.0 / episode/length 12.0
[15426] episode/score 1.0 / episode/length 14.0
[15445] episode/score 1.0 / episode/length 19.0
[15458] episode/score 1.0 / episode/length 13.0
[15474] episode/score 1.0 / episode/length 16.0
[15487] episode/score 1.0 / episode/length 13.0
[15499] episode/score 1.0 / episode/length 12.0
[15513] episode/score 1.0 / episode/length 14.0
[15535] episode/score 0.9 / episode/length 22.0
[15561] episode/score 0.9 / episode/length 26.0
[15584] episode/score 0.9 / episode/length 23.0
[15601] episode/score 1.0 / episode/length 17.0
[15624] episode/score 0.9 / episode/length 23.0
[15643] episode/score 1.0 / episode/length 19.0
[15664] episode/score 0.9 / episode/length 21.0
[15678] episode/score 1.0 / episode/length 14.0
[15693] episode/score 1.0 / episode/length 15.0
[15704] episode/score 1.0 / episode/length 11.0
[15717] episode/score 1.0 / episode/length 13.0
[15736] episode/score 1.0 / episode/length 19.0
[15752] episode/score 1.0 / episode/length 16.0
[15770] episode/score 1.0 / episode/length 18.0
[15784] episode/score 1.0 / episode/length 14.0
[15804] episode/score 0.9 / episode/length 20.0
[15817] episode/score 1.0 / episode/length 13.0
[15831] episode/score 1.0 / episode/length 14.0
[15843] episode/score 1.0 / episode/length 12.0
[15858] episode/score 1.0 / episode/length 15.0
[15879] episode/score 0.9 / episode/length 21.0
[15891] episode/score 1.0 / episode/length 12.0
[15903] episode/score 1.0 / episode/length 12.0
[15914] episode/score 1.0 / episode/length 11.0
[15931] episode/score 1.0 / episode/length 17.0
[15951] episode/score 0.9 / episode/length 20.0
[15965] episode/score 1.0 / episode/length 14.0
[15979] episode/score 1.0 / episode/length 14.0
[15999] episode/score 0.9 / episode/length 20.0
[16014] episode/score 1.0 / episode/length 15.0
[16032] episode/score 1.0 / episode/length 18.0
[16050] episode/score 1.0 / episode/length 18.0
[16063] episode/score 1.0 / episode/length 13.0
[16079] episode/score 1.0 / episode/length 16.0
[16096] episode/score 1.0 / episode/length 17.0
[16113] episode/score 1.0 / episode/length 17.0
[16130] episode/score 1.0 / episode/length 17.0
[16149] episode/score 1.0 / episode/length 19.0
[16163] episode/score 1.0 / episode/length 14.0
[16171] episode/score 1.0 / episode/length 8.0
[16181] episode/score 1.0 / episode/length 10.0
[16196] episode/score 1.0 / episode/length 15.0
[16212] episode/score 1.0 / episode/length 16.0
[16235] episode/score 0.9 / episode/length 23.0
[16258] episode/score 0.9 / episode/length 23.0
[16273] episode/score 1.0 / episode/length 15.0
[16287] episode/score 1.0 / episode/length 14.0
[16306] episode/score 1.0 / episode/length 19.0
[16317] episode/score 1.0 / episode/length 11.0
[16329] episode/score 1.0 / episode/length 12.0
[16341] episode/score 1.0 / episode/length 12.0
[16354] episode/score 1.0 / episode/length 13.0
[16372] episode/score 1.0 / episode/length 18.0
[16389] episode/score 1.0 / episode/length 17.0
[16406] episode/score 1.0 / episode/length 17.0
[16420] episode/score 1.0 / episode/length 14.0
[16435] episode/score 1.0 / episode/length 15.0
[16447] episode/score 1.0 / episode/length 12.0
[16468] episode/score 0.9 / episode/length 21.0
[16482] episode/score 1.0 / episode/length 14.0
[16498] episode/score 1.0 / episode/length 16.0
[16509] episode/score 1.0 / episode/length 11.0
[16533] episode/score 0.9 / episode/length 24.0
[16547] episode/score 1.0 / episode/length 14.0
[16570] episode/score 0.9 / episode/length 23.0
[16585] episode/score 1.0 / episode/length 15.0
[16597] episode/score 1.0 / episode/length 12.0
[16610] episode/score 1.0 / episode/length 13.0
[16624] episode/score 1.0 / episode/length 14.0
[16643] episode/score 1.0 / episode/length 19.0
[16661] episode/score 1.0 / episode/length 18.0
[16675] episode/score 1.0 / episode/length 14.0
[16691] episode/score 1.0 / episode/length 16.0
[16711] episode/score 0.9 / episode/length 20.0
[16729] episode/score 1.0 / episode/length 18.0
[16751] episode/score 0.9 / episode/length 22.0
[16764] episode/score 1.0 / episode/length 13.0
[16779] episode/score 1.0 / episode/length 15.0
[16791] episode/score 1.0 / episode/length 12.0
[16808] episode/score 1.0 / episode/length 17.0
[16824] episode/score 1.0 / episode/length 16.0
[16836] episode/score 1.0 / episode/length 12.0
[16849] episode/score 1.0 / episode/length 13.0
[16861] episode/score 1.0 / episode/length 12.0
[16879] episode/score 1.0 / episode/length 18.0
[16894] episode/score 1.0 / episode/length 15.0
[16909] episode/score 1.0 / episode/length 15.0
[16924] episode/score 1.0 / episode/length 15.0
[16941] episode/score 1.0 / episode/length 17.0
[16957] episode/score 1.0 / episode/length 16.0
[16981] episode/score 0.9 / episode/length 24.0
[16993] episode/score 1.0 / episode/length 12.0
[17006] episode/score 1.0 / episode/length 13.0
[17019] episode/score 1.0 / episode/length 13.0
[17037] episode/score 1.0 / episode/length 18.0
[17053] episode/score 1.0 / episode/length 16.0
[17063] episode/score 1.0 / episode/length 10.0
[17081] episode/score 1.0 / episode/length 18.0
[17105] episode/score 0.9 / episode/length 24.0
[17121] episode/score 1.0 / episode/length 16.0
[17136] episode/score 1.0 / episode/length 15.0
[17155] episode/score 1.0 / episode/length 19.0
[17172] episode/score 1.0 / episode/length 17.0
[17183] episode/score 1.0 / episode/length 11.0
[17200] episode/score 1.0 / episode/length 17.0
[17212] episode/score 1.0 / episode/length 12.0
[17229] episode/score 1.0 / episode/length 17.0
[17241] episode/score 1.0 / episode/length 12.0
[17254] episode/score 1.0 / episode/length 13.0
[17269] episode/score 1.0 / episode/length 15.0
[17287] episode/score 1.0 / episode/length 18.0
[17311] episode/score 0.9 / episode/length 24.0
[17321] episode/score 1.0 / episode/length 10.0
[17332] episode/score 1.0 / episode/length 11.0
[17344] episode/score 1.0 / episode/length 12.0
[17356] episode/score 1.0 / episode/length 12.0
[17375] episode/score 1.0 / episode/length 19.0
[17392] episode/score 1.0 / episode/length 17.0
[17406] episode/score 1.0 / episode/length 14.0
[17421] episode/score 1.0 / episode/length 15.0
[17439] episode/score 1.0 / episode/length 18.0
[17451] episode/score 1.0 / episode/length 12.0
[17469] episode/score 1.0 / episode/length 18.0
[17492] episode/score 0.9 / episode/length 23.0
[17514] episode/score 0.9 / episode/length 22.0
[17528] episode/score 1.0 / episode/length 14.0
[17540] episode/score 1.0 / episode/length 12.0
[17550] episode/score 1.0 / episode/length 10.0
[17567] episode/score 1.0 / episode/length 17.0
[17577] episode/score 1.0 / episode/length 10.0
[17589] episode/score 1.0 / episode/length 12.0
[17609] episode/score 0.9 / episode/length 20.0
[17621] episode/score 1.0 / episode/length 12.0
